Program,hasPrereqToMajor,prereqToMajorList,hasReqGenEds,reqGenEdsList,hasMajorCommonCore,majorCommonCoreList,hasThesisCapstone,ChooseThesisCapstone,hasMajorRestrictiveElectives,majorRestrictiveElectivesList,hasMajorUnrestrictedElectives,majorUnrestrictedElectives,hasRequiredMinor,minorName,otherGradReq
Elementary Education (BS),TRUE,"['ELE 215', 'MATH 202']",TRUE,"['ELE 222W', 'HLTH 240', 'MATH 201', ['credits_3', 'AIS 211', 'AIS 212', 'HIST 190', 'HIST 190W', 'HIST 268'], ['credits_3', 'AIS 330', 'CJ 255', 'ED 101', 'GWS 220']]",TRUE,"['ELE 410', 'ELE 411', 'ELE 412', 'ELE 413', 'ELE 420', 'ELE 421', 'ELE 422', 'ELE 423', 'ELE 430W', 'ELE 431', 'ELE 433', ['credits_4', 'ELE 432', 'ELE 470'], 'ELE 440']",FALSE,,FALSE,,FALSE,,FALSE,,
Finance (BS) Quantitative Finance,TRUE,"['CIS 101', 'ACCT 200', 'BUS 295']",TRUE,"['ECON 201', 'MATH 130', ['credits_3', 'PHIL 120W', 'PHIL 205W', 'PHIL 222W', 'PHIL 224W', 'PHIL 226W', 'PHIL 240W']]",TRUE,"['ACCT 210', 'BLAW 200', 'ECON 202', 'ECON 207', 'FINA 362', 'IBUS 380', 'MGMT 230', 'MGMT 300', 'MGMT 346', 'MGMT 481', 'MRKT 210', ['credits_12', 'FINA 400', 'FINA 460', 'FINA 462', 'FINA 464']]",FALSE,,TRUE,"[['credits_12', 'FINA 467', 'FINA 480', 'FINA 482', 'FINA 490']]",TRUE,"[['credits_3', 'ACCT 300', 'ACCT 301', 'FINA 372', 'FINA 375', 'FINA 461', 'FINA 463', 'FINA 475', 'FINA 493', 'FINA 498']]",FALSE,,
Social Studies Teaching (BS) Anthropology,FALSE,,TRUE,"['ANTH 101', 'GEOG 100', 'POL 111', 'PSYC 101', ['credits_4', 'HIST 190', 'HIST 190W'], ['credits_4', 'HIST 191', 'HIST 191W']]",TRUE,"['ECON 201', 'ECON 202', 'GEOG 340', 'HIST 302', 'POL 321', 'SOC 101', 'SOST 200', 'SOST 450']",FALSE,,TRUE,"[['credits_3', 'ETHN 410', 'GWS 220', 'GWS 220W'], ['credits_4', 'ANTH 220', 'ANTH 230', 'ANTH 240']]",TRUE,"[['credits_11', 'ANTH 300-400']]",FALSE,,
Social Studies Teaching (BS) Economics,FALSE,,TRUE,"['ANTH 101', 'GEOG 100', 'POL 111', 'PSYC 101', ['credits_3', 'HIST 190', 'HIST 190W'], ['credits_3', 'HIST 191', 'HIST 191W']]",TRUE,"['ECON 201', 'ECON 202', 'GEOG 340', 'HIST 302', 'POL 321', 'SOC 101', 'SOST 200', 'SOST 450']",FALSE,,TRUE,"[['credits_3', 'ETHN 410', 'GWS 220', 'GWS 220W'], ['credits_12', 'ECON 314W', 'ECON 403', 'ECON 412', 'ECON 416', 'ECON 420']]",FALSE,,FALSE,,
Communication Sciences and Disorders (BS),FALSE,,FALSE,,TRUE,"['CDIS 201', 'CDIS 220', 'CDIS 290', 'CDIS 312', 'CDIS 322', 'CDIS 346', 'CDIS 350W', 'CDIS 392', 'CDIS 394', 'CDIS 410', 'CDIS 421', 'CDIS 445', 'CDIS 446']",FALSE,,TRUE,"[['credits_2', 'CDIS 320', 'CDIS 420', 'CDIS 495'], ['credits_12', 'CDIS 402', 'CDIS 403', 'CDIS 409W', 'CDIS 431', 'CDIS 434', 'CDIS 438', 'CDIS 444'], ['credits_12', 'CDIS 320', 'CDIS 401', 'CDIS 404', 'CDIS 408', 'CDIS 420', 'CDIS 422'], ['credits_0', 'CDIS 409W', 'CDIS 447', 'CDIS 457W', 'CDIS 477', 'CDIS 491']]",TRUE,"[['credits_0', 'CDIS 205', 'CDIS 306', 'CDIS 307', 'CDIS 308', 'CDIS 407']]",FALSE,,
Health and Physical Education (BS),FALSE,,TRUE,"['BIOL 100', 'FCS 140', 'HLTH 101', 'HLTH 240', 'HP 295', 'KSP 220W', 'PSYC 101']",TRUE,"['HLTH 210', 'HLTH 311', 'HLTH 320', 'HLTH 420W', 'HLTH 451', 'HLTH 454', 'HP 201', 'HP 313', 'HP 330', 'HP 331', 'HP 333', 'HP 334', 'HP 388', 'HP 426', 'HP 427', 'HP 449', 'HP 450', 'HP 460']",FALSE,,FALSE,,FALSE,,FALSE,,
Management (BS) Business Management,TRUE,"['CIS 101', 'MATH 130', 'ACCT 200', 'BUS 295', 'ECON 201']",TRUE,"['ECON 201', 'MATH 130', ['credits_3', 'PHIL 120W', 'PHIL 205W', 'PHIL 222W', 'PHIL 224W', 'PHIL 226W', 'PHIL 240W']]",TRUE,"['ACCT 210', 'BLAW 200', 'ECON 202', 'ECON 207', 'FINA 362', 'IBUS 380', 'MGMT 230', 'MGMT 300', 'MGMT 346', 'MGMT 481', 'MRKT 210','MGMT 340','MGMT 380','MGMT 459','MGMT 472','MGMT 484']",FALSE,,TRUE,"[['credits_12','ACCT 310', 'BLAW 477', 'BUS 397', 'MGMT 360', 'MGMT 443', 'MGMT 447', 'MGMT 449', 'MGMT 473', 'MGMT 482', 'MGMT 497']]",FALSE,,FALSE,,
Management (BS) Human Resource Management,TRUE,"['CIS 101', 'MATH 130', 'ACCT 200', 'BUS 295', 'ECON 201']",TRUE,"['ECON 201', 'MATH 130', ['credits_3', 'PHIL 120W', 'PHIL 205W', 'PHIL 222W', 'PHIL 224W', 'PHIL 226W', 'PHIL 240W']]",TRUE,"['ACCT 210', 'BLAW 200', 'ECON 202', 'ECON 207', 'FINA 362', 'IBUS 380', 'MGMT 230', 'MGMT 300', 'MGMT 346', 'MGMT 481', 'MRKT 210', 'BLAW 452','MGMT 340','MGMT 380','MGMT 441','MGMT 442','MGMT 445','MGMT 486']",FALSE,,TRUE,"[['credits_6','ACCT 310', 'BUS 397', 'ECON 403', 'FINA 466', 'HLTH 488', 'MET 423', 'MGMT 484', 'MGMT 498']]",FALSE,,FALSE,,
Business Administration (BBA),FALSE,,TRUE,"['ECON 201', 'MATH 112', 'STAT 154']",TRUE,"['ACCT 200', 'ACCT 210', 'BLAW 200', 'CIS 101', 'ECON 202', 'FINA 362', 'IBUS 380', 'MGMT 230', 'MGMT 300', 'MGMT 332', 'MGMT 340', 'MGMT 346', 'MGMT 391', 'MGMT 472', 'MGMT 481', 'MGMT 484', 'MGMT 490', 'MGMT 492', 'MRKT 210', 'MRKT 318']",FALSE,,FALSE,,FALSE,,FALSE,,
Management Information Systems (BS),FALSE,,TRUE,"['CIS 202W', 'COMM 100', 'COMM 102', 'ENG 101', 'MATH 121', 'PHIL 224W']",TRUE,"['ACCT 200', 'CIS 121', 'CIS 122', 'CIS 223', 'CIS 311', 'CIS 340', 'CIS 350', 'CIS 380', 'CIS 440', 'CIS 497', 'ECON 207', 'ENG 271W']",FALSE,,TRUE,"[[{'rules' : [15,15], 'area_1' : ['CIS 499', 'FINA 362', 'MGMT 230', 'MRKT 210', ['credits_3','ACCT 210', 'BLAW 471', 'MGMT 346', 'MGMT 473']], 'area_2' : [['credits_9','FINA 362', 'MGMT 230', 'MRKT 210'], ['credits_6','ACCT 210', 'BLAW 471', 'MGMT 346', 'MGMT 473']]}]]",TRUE,"[['credits_8', 'ENG 469', 'CIS 400-496'],['credits_4','ENG 469', 'CIS 300-399', 'CIS 400-496']]",FALSE,,
