Program,hasPrereqToMajor,prereqToMajorList,hasReqGenEds,reqGenEdsList,hasMajorCommonCore,majorCommonCoreList,hasThesisCapstone,ChooseThesisCapstone,hasMajorRestrictiveElectives,majorRestrictiveElectivesList,hasMajorUnrestrictedElectives,majorUnrestrictedElectivesList,hasOtherGradReq,otherGradReq
School Library and Information Studies (MS),False,,False,,True,"['KSP 619', 'KSP 621', 'KSP 622', 'KSP 630', 'KSP 635', 'KSP 639', 'KSP 662', 'KSP 665', 'KSP 689']",False,,True,['KSP 669'],False,,True,"['KSP 609', 'KSP 610']"
Theatre and Dance (MFA),False,,False,,True,"['DANC 580', 'DANC 590', 'DANC 620', 'DANC 624', 'DANC 625', 'DANC 632', 'DANC 684', 'THEA 681', 'THEA 530', 'THEA 540', 'THEA 570', 'THEA 581', 'THEA 582', 'THEA 585', 'THEA 638', 'THEA 675', 'THEA 681', 'THEA 514', 'THEA 526', 'THEA 581', 'THEA 582', 'THEA 612', 'THEA 681']",True,"['DANC 699', 'THEA 697', 'THEA 699', ['credits_6', 'THEA 603', 'THEA 604', 'THEA 605', 'THEA 606', 'THEA 607', 'THEA 608', 'THEA 609']]",True,"['DANC 528', 'DANC 599', 'DANC 621', 'DANC 528', 'DANC 599', 'THEA 510', 'THEA 511', 'THEA 583', 'THEA 611', 'THEA 621', 'THEA 622', 'THEA 510', 'THEA 516', 'THEA 518', 'THEA 519', 'THEA 617', 'THEA 621', 'THEA 622', 'THEA 530', 'THEA 535', 'THEA 585', 'THEA 630', 'THEA 635', 'THEA 638', 'THEA 541', 'THEA 544', 'THEA 575', 'THEA 645', 'THEA 648', 'THEA 651', 'THEA 670', 'THEA 575', 'THEA 576', 'THEA 651', 'THEA 670', 'THEA 674', 'THEA 555', 'THEA 575', 'THEA 651', 'THEA 656', 'THEA 670', ['credits_10', 'THEA 621', 'THEA 622'], ['credits_16', 'DANC 627', 'THEA 510', 'THEA 511', 'THEA 530', 'THEA 562', 'THEA 572', 'THEA 577', 'THEA 582', 'THEA 583', 'THEA 617', 'THEA 638'], ['credits_6', 'THEA 621', 'THEA 622', 'THEA 516', 'THEA 517', 'THEA 518'], ['credits_21', 'THEA 560', 'THEA 561', 'THEA 564', 'THEA 571', 'THEA 575', 'THEA 631', 'THEA 648', 'THEA 651', 'THEA 670', 'THEA 672', 'THEA 677'], ['credits_3', 'THEA 516', 'THEA 517', 'THEA 518', 'THEA 519', 'THEA 583', 'THEA 585']]",False,,True,[]
Applied Health Science (MS),False,,False,,True,"['HLTH 606', 'HLTH 659', 'HLTH 664', 'HLTH 665', 'HLTH 667', 'HLTH 675']",True,"['HLTH 694', 'HLTH 699']",True,"[['credits_6', 'HLTH 510', 'HLTH 550', 'HLTH 551', 'HLTH 555', 'HLTH 556', 'HLTH 559', 'HLTH 565', 'HLTH 566', 'HLTH 567', 'HLTH 569', 'HLTH 588', 'HLTH 632', 'HLTH 654', 'HLTH 658', 'HLTH 662', 'HLTH 676']]",False,,True,"['HLTH 630']"
Sport Management (MS),False,,False,,True,"['HP 625', 'HP 638', 'HP 650', 'HP 660', 'HP 665', 'HP 667']",True,"['HP 688', 'HP 696', 'HP 698']",True,"['HP 535', 'HP 575', 'HP 597', 'HP 641', 'HP 649', 'HP 651']",False,,True,"['HP 610', 'HP 630']"
Database Technology (GC),False,,False,,True,"['CIS 540', 'CIS 640', 'CIS 641']",False,,False,,False,,False,
Manufacturing Engineering Technology (MS),False,,False,,True,"['MET 625', 'MET 627', 'MET 654']",True,"[['credits_2', 'MET 694', 'MET 699']]",True,"[['credits_6', 'MET 507', 'MET 523', 'MET 525', 'MET 526', 'MET 527', 'MET 528', 'MET 555', 'MET 645', 'MET 678', 'MET 679', 'MET 692', 'MET 697']]",False,,True,"['MET 600']"
Ethnic and Multi-Cultural Studies (MS),False,,False,,False,,True,"[['credits_1', 'ETHN 698', 'ETHN 699']]",True,"[['credits_15', 'ANTH 603', 'CSP 648', 'ETHN 500', 'ETHN 510', 'ETHN 582', 'ETHN 650', 'ETHN 660', 'ETHN 695', 'ETHN 697'], ['credits_3', 'CSP 571', 'CSP 618', 'CSP 665', 'PSYC 683', 'REHB 640', 'REHB 651'], ['credits_6', 'ETHN 505', 'ETHN 520', 'ETHN 540', 'ETHN 550', 'ETHN 560', 'ETHN 570', 'ETHN 586', 'ETHN 590', 'ETHN 595', 'ETHN 610', 'ETHN 640', 'ETHN 677'], ['credits_1', 'EDLD 644', 'GWS 630', 'POL 662', 'SOC 517', 'URBS 650']]",False,,True,"['credits_3', 'CSP 675', 'EDLD 662', 'ETHN 501', 'ETHN 502', 'GEOG 576', 'HLTH 630', 'PSYC 610']"
"Child, Youth, and Family Services (CERT)",False,,False,,True,"['FCS 100', 'FCS 301', 'FCS 303', 'FCS 400', 'FCS 401', 'FCS 414W']",False,,False,,False,,False,
Communication and Media (MA),False,,False,,True,"['COMM 600', 'COMM 603', 'COMM 606']",True,"['COMM 650', 'COMM 699']",True,"[['credits_6', 'COMM 602', 'COMM 610', 'COMM 613', 'COMM 620', 'COMM 621', 'COMM 640', 'COMM 673'], ['credits_3', 'COMM 505', 'COMM 509', 'COMM 510', 'COMM 512', 'COMM 515', 'COMM 516', 'COMM 517', 'COMM 518', 'COMM 519', 'COMM 520', 'COMM 521', 'COMM 525', 'COMM 529', 'COMM 530', 'COMM 532', 'COMM 535', 'COMM 536', 'COMM 540', 'COMM 544', 'COMM 545', 'COMM 550', 'COMM 551', 'COMM 552', 'COMM 553', 'COMM 554', 'COMM 555', 'COMM 556', 'COMM 557', 'COMM 560', 'COMM 565', 'COMM 570', 'COMM 601', 'COMM 604', 'COMM 605', 'COMM 630', 'COMM 633', 'COMM 634', 'COMM 651', 'COMM 677', 'COMM 694', 'COMM 697']]",False,,True,"['COMM 611', 'COMM 612']"
Technical Communication (MS),False,,False,,True,"['ENG 571', 'ENG 575', 'ENG 665', 'ENG 667']",True,['ENG 696'],True,"[['credits_11', 'ENG 566', 'ENG 567', 'ENG 569', 'ENG 572', 'ENG 577', 'ENG 583', 'ENG 673', 'ENG 674', 'ENG 676', 'ENG 677', 'ENG 678', 'ENG 679', 'ENG 680', 'ENG 681', 'ENG 698']]",False,,True,"[['credits_3', 'ENG 698'], 'ENG 673', 'ENG 681']"
Elementary Teaching (MS),False,,False,,True,"['ELE 651', 'ELE 652', 'ELE 653', 'ELE 654', 'ELE 662', 'ELE 663', 'ELE 664', 'ELE 665', 'ELE 671', 'ELE 672', 'ELE 681', 'ELE 682']",False,,False,,False,,True,"['ELE 673', 'ELE 695']"
"Sport, Exercise, and Performance Psychology (MS)",False,,False,,True,"['CSP 571', 'HP 640', 'HP 641', 'HP 644', 'HP 646', 'HP 648', 'HP 649', 'HP 652', 'HP 672', 'HP 682']",True,"[['credits_2', 'HP 694', 'HP 696', 'HP 698', 'HP 699']]",True,"[['credits_5', 'HP 682', 'HP 683'], 'HP 570', ['credits_3', 'HP 620', 'PSYC 555', 'PSYC 618', 'SOC 580']]",False,,True,"['HP 615']"
French (BA),True,"[['credits_10', 'FREN 101', 'FREN 102']]",False,,True,"[['credits_3', 'FREN 305', 'FREN 402'], ['credits_7', 'FREN 302W', 'FREN 323', 'FREN 366', 'FREN 404'], ['credits_9', 'FREN 280W', 'FREN 350', 'FREN 420', 'FREN 432', 'FREN 442', 'FREN 452', 'WLC 280W']]",False,,True,"[['credits_7', 'FREN 201', 'FREN 202', 'FREN 214', 'FREN 216', 'FREN 217', 'FREN 218', 'FREN 261', 'FREN 293', 'FREN 299', 'FREN 301', 'FREN 302W', 'FREN 304', 'FREN 305', 'FREN 314', 'FREN 315', 'FREN 316', 'FREN 317', 'FREN 318', 'FREN 322', 'FREN 323', 'FREN 350', 'FREN 366', 'FREN 393', 'FREN 402', 'FREN 404', 'FREN 405', 'FREN 406', 'FREN 414', 'FREN 416', 'FREN 417', 'FREN 420', 'FREN 432', 'FREN 442', 'FREN 452', 'FREN 492', 'FREN 494', 'FREN 497', 'FREN 499']]",False,,False,
Geographic Information Science (MS),False,,False,,True,"['GEOG 671', 'GEOG 672', 'GEOG 673', 'GEOG 674']",True,"['GEOG 679', 'GEOG 694', 'GEOG 699']",True,"[['credits_12', 'GEOG 539', 'GEOG 571', 'GEOG 573', 'GEOG 574', 'GEOG 575', 'GEOG 576', 'GEOG 578', 'GEOG 579', 'GEOG 581', 'GEOG 582', 'GEOG 583', 'GEOG 584', 'GEOG 585']]",False,,True,[]
Nonprofit Leadership (GC),False,,False,,True,['NPL 673'],True,"[['credits_3', 'GWS 698', 'NPL 697', 'RPLS 697', 'SOC 695', 'SOC 697', 'SOWK 697']]",True,"[['credits_3', 'NPL 586', 'NPL 588', 'RPLS 565', 'RPLS 573', 'URBS 553'], ['credits_3', 'NPL 560', 'RPLS 583', 'SOC 517'], ['credits_3', 'GWS 600', 'SOC 566', 'URBS 513']]",False,,False,
Physics (MS),False,,False,,False,,True,"['PHYS 694', 'PHYS 699']",True,"[['credits_9', 'PHYS 640', 'PHYS 650', 'PHYS 660', 'PHYS 670']]",False,,True,"['PHYS 607', 'PHYS 692']"
Literature and Composition (MA),False,,False,,True,"['ENG 555', 'ENG 606', 'ENG 607', 'ENG 625', 'ENG 635', 'ENG 671']",True,['ENG 694'],True,"[['credits_6', 'CW 648', 'ENG 556', 'ENG 587', 'ENG 629', 'ENG 655', 'ENG 657', 'ENG 676'], ['credits_6', 'ENG 526', 'ENG 533', 'ENG 535', 'ENG 603', 'ENG 605', 'ENG 608', 'ENG 609', 'ENG 610', 'ENG 611', 'ENG 612', 'ENG 618', 'ENG 654', 'ENG 661']]",False,,True,"['ENG 651', 'ENG 656']"
