Program,hasPrereqToMajor,prereqToMajorList,hasReqGenEds,reqGenEdsList,hasMajorCommonCore,majorCommonCoreList,hasThesisCapstone,ChooseThesisCapstone,hasMajorRestrictiveElectives,majorRestrictiveElectivesList,hasMajorUnrestrictedElectives,majorUnrestrictedElectives,hasRequiredMinor,minorName
Computer Science (BS),FALSE,[],TRUE,"['ENG 101','MATH 121',['credits_2','COMM 102', 'ENG 271w'], ['credits_8','BIOL 105, 'BIOL 106', 'CHEM 201', 'CHEM 202', 'GEOL 121', 'PHYS 221', 'PHYS 222', 'PHYS 223', 'PHYS 232', 'PHYS 233']]",TRUE,"['CIS 121', 'CIS 122', 'CIS 223', 'CIS 224', 'CS 301', 'CS 302', 'CS 303', 'CS 304', 'CS 391W', 'CS 392W', 'CS 491W', 'CS 495 - take 4 times', 'MATH 122', 'MATH 247', 'MATH 280', 'MATH 354', 'MATH 380']",TRUE,"['CS 492W', 'CS 498W']",TRUE,"['credits_12','CS 306', 'CS 308', 'CS 401', 'CS 403', 'CS 406', 'CS 410', 'CS 415', 'CS 420', 'CS 435', 'CS 440', 'CS 445', 'CS 450', 'CS 465', 'CS 470', 'CS 480', 'CS 485']",FALSE,[],FALSE,
Integrated Business Experience (CERT),FALSE,[],FALSE,[],TRUE,"['ACCT 200','FINA 362','MGMT 230','MRKT 210']",FALSE,[],TRUE,"['credits_3','BUS 397','CIS 499']",FALSE,[],FALSE,
Accounting (BS),TRUE,"['ACCT 200','BUS 295','CIS 101']",TRUE,"['ECON 201','MATH 130',['credits_3','PHIL 120W','PHIL 205W','PHIL 222W','PHIL 224W','PHIL 226W','PHIL 240W']]",TRUE,"['ACCT 210','BLAW 200','ECON 202','ECON 207','FINA 362','IBUS 380','MGMT 230','MGMT 300','MGMT 346','MGMT 481','MRKT 210',['credits_28','ACCT 220','ACCT 300','ACCT 301','ACCT 310','ACCT 320','ACCT 330','ACCT 400','ACCT 410','ACCT 421','BLAW 450']]",FALSE,[],FALSE,[],TRUE,"['credits_0','BUS 397']",FALSE,
Sport Management (BS),TRUE,['HP 141'],TRUE,"['ENG 101', 'MATH 112', 'PSYC 101', 'SOC 101',['credit_3','ECON 201','ECON 202'],['credits_3','COMM 100,'COMM 102']]",TRUE,"['ACCT 200', 'HP 290', 'HP 325', 'HP 350', 'HP 435', 'HP 459', 'HP 462', 'HP 465', 'HP 468', 'HP 469']",FALSE,[],TRUE,"[['credits_6','HP 437', 'HP 463', 'HP 464', 'HP 475', 'HP 497'],['credits_9','HP 488','HP 496']]",FALSE,[],TRUE,"['Accounting','Athletic Coaching','Business Law','Esport Management','Financial Planning','Human Resources Management','Economics','Entrepreneurship and Innovation','International Business','Marketing']"
