Program,hasPrereqToMajor,prereqToMajorList,hasReqGenEds,reqGenEdsList,hasMajorCommonCore,majorCommonCoreList,hasThesisCapstone,ChooseThesisCapstone,hasMajorRestrictiveElectives,majorRestrictiveElectivesList,hasMajorUnrestrictedElectives,majorUnrestrictedElectives,hasRequiredMinor,minorName,otherGradReq
Social Studies Teaching (BS) Economics,TRUE,"['HIST 101', 'GEOG 101', 'ECON 101', 'ECON 102']",TRUE,"['ENG 101', 'MATH 100', 'COMM 100', 'HIST 201', 'GEOG 102']",TRUE,"['ECON 201', 'ECON 202', 'ECON 301', 'ECON 302', 'ECON 490']",FALSE,[],TRUE,"[['credits_9', 'ECON 305', 'ECON 310', 'ECON 315', 'ECON 320']]",FALSE,[],FALSE,[],"['Student Teaching', 'Classroom Observation']"
Social Studies Teaching (BS) Geography,TRUE,"['HIST 101', 'GEOG 101', 'GEOG 201', 'GEOG 210']",TRUE,"['ENG 101', 'MATH 100', 'COMM 100', 'HIST 201', 'GEOG 102']",TRUE,"['GEOG 220', 'GEOG 221', 'GEOG 310', 'GEOG 315', 'GEOG 320', 'GEOG 490']",FALSE,[],TRUE,"[['credits_9', 'GEOG 410', 'GEOG 420', 'GEOG 430']]",FALSE,[],FALSE,[],"['Student Teaching', 'Classroom Observation']"
Social Studies Teaching (BS) History,TRUE,"['HIST 101', 'HIST 102', 'GEOG 101']",TRUE,"['ENG 101', 'MATH 100', 'COMM 100', 'HIST 201', 'GEOG 102']",TRUE,"['HIST 210', 'HIST 220', 'HIST 320', 'HIST 405', 'HIST 410', 'HIST 420', 'HIST 490']",FALSE,[],TRUE,"[['credits_9', 'HIST 430', 'HIST 435', 'HIST 440', 'HIST 450']]",FALSE,[],FALSE,[],"['Student Teaching', 'Classroom Observation']"
Elementary Education (BS),TRUE,"['EDUC 100', 'EDUC 200', 'MATH 112']",TRUE,"['ENG 101', 'COMM 100', 'PSYC 101', 'HIST 101', 'BIOL 101', 'GEOG 101', 'CHEM 101']",TRUE,"['ELE 201', 'ELE 202', 'ELE 301', 'ELE 302', 'ELE 401', 'ELE 402', 'ELE 420', 'ELE 421', 'ELE 440']",TRUE,['ELE 460'],FALSE,[],FALSE,[],FALSE,[],"['Student Teaching', 'Passing Education Exam']"
International Business (BS),TRUE,"[['CIS 101', 'MATH 130', 'ACCT 200', 'BUS 295', 'ECON 201'],['credits_3','PHIL 120W','PHIL 205W', 'PHIL 222W','PHIL 224W', 'PHIL 226W', 'PHIL 240W']]",TRUE,"[['credits_3', 'PHIL 120W', 'PHIL 205W', 'PHIL 222W', 'PHIL 224W', 'PHIL 226W', 'PHIL 240W'],['ECON 201', 'MATH 130']]",TRUE,"[['credits_34','ACCT 210', 'BLAW 200', 'ECON 202', 'ECON 207', 'FINA 362', 'IBUS 380', 'MGMT 230', 'MGMT 300', 'MGMT 346', 'MGMT 481', 'MRKT 210'],['credits_18','IBUS 419','IBUS 428','IBUS 448','IBUS 469','IBUS 485','IBUS 490']]",FALSE,[],TRUE," [['credits_6','MRKT 312', 'MRKT 316', 'MRKT 318', 'MRKT 324', 'MRKT 341', 'MRKT 416', 'MRKT 420'], ['credits_6','ACCT 310', 'FINA 460', 'FINA 462', 'FINA 463', 'FINA 464', 'FINA 467'], ['credits_6','MGMT 332', 'MGMT 340', 'MGMT 380', 'MGMT 441', 'MGMT 443', 'MGMT 459']]",TRUE,"['ECON 420', 'FREN 202', 'GEOG 102', 'GEOG 103', 'GER 202', 'IBUS 492', 'IBUS 498', 'IBUS 499', 'POL 231', 'POL 241', 'SPAN 202']",FALSE,,
Health and Physical Education (BS),FALSE,[],TRUE,"['BIOL 100', 'FCS 140', 'HLTH 101', 'HLTH 240', 'HP 295', 'KSP 220W', 'PSYC 101']",TRUE,"['HLTH 210', 'HLTH 311', 'HLTH 320', 'HLTH 420W', 'HLTH 451', 'HLTH 454', 'HP 201', 'HP 313', 'HP 330', 'HP 331', 'HP 333', 'HP 334', 'HP 388', 'HP 426', 'HP 427', 'HP 449', 'HP 450', 'HP 460']",FALSE,[],FALSE,[],FALSE,[],FALSE,,
Management (BS) Business Management,TRUE,"['CIS 101', 'MATH 130', 'ACCT 200', 'BUS 295', 'ECON 201']",TRUE,"[['credits_3', 'PHIL 120W', 'PHIL 205W', 'PHIL 222W', 'PHIL 224W', 'PHIL 226W', 'PHIL 240W'],['ECON 201', 'MATH 130']]",TRUE,"[['credits_34','ACCT 210', 'BLAW 200', 'ECON 202', 'ECON 207', 'FINA 362', 'IBUS 380', 'MGMT 230', 'MGMT 300', 'MGMT 346', 'MGMT 481', 'MRKT 210'],['MGMT340','MGMT 380','MGMT 459','MGMT 472','MGMT 484']]",FALSE,[],TRUE,"['credits_12','ACCT 310', 'BLAW 477', 'BUS 397', 'MGMT 360', 'MGMT 443', 'MGMT 447', 'MGMT 449', 'MGMT 473', 'MGMT 482', 'MGMT 497']",FALSE,[],FALSE,,
Management (BS) Human Resource Management,TRUE,"['CIS 101', 'MATH 130', 'ACCT 200', 'BUS 295', 'ECON 201']",TRUE,"[['credits_3', 'PHIL 120W', 'PHIL 205W', 'PHIL 222W', 'PHIL 224W', 'PHIL 226W', 'PHIL 240W'],['ECON 201', 'MATH 130']]",TRUE,"[['credits_34','ACCT 210', 'BLAW 200', 'ECON 202', 'ECON 207', 'FINA 362', 'IBUS 380', 'MGMT 230', 'MGMT 300', 'MGMT 346', 'MGMT 481', 'MRKT 210'],['BLAW 452','MGMT 340','MGMT 380','MGMT 441','MGMT 442','MGMT 445','MGMT 486']]",FALSE,[],TRUE,"['credits_6','ACCT 310', 'BUS 397', 'ECON 403', 'FINA 466', 'HLTH 488', 'MET 423', 'MGMT 484', 'MGMT 498']",FALSE,[],FALSE,,
Business Administration (BBA),FALSE,[],TRUE,"['ECON 201', 'MATH 112', 'STAT 154']",TRUE,"['ACCT 200', 'ACCT 210', 'BLAW 200', 'CIS 101', 'ECON 202', 'FINA 362', 'IBUS 380', 'MGMT 230', 'MGMT 300', 'MGMT 332', 'MGMT 340', 'MGMT 346', 'MGMT 391', 'MGMT 472', 'MGMT 481', 'MGMT 484', 'MGMT 490', 'MGMT 492', 'MRKT 210', 'MRKT 318']",TRUE,['MGMT 492'],FALSE,[],FALSE,[],FALSE,,
Management Information Systems (BS),FALSE,[],TRUE,"['CIS 202W', 'COMM 100', 'COMM 102', 'ENG 101', 'MATH 121', 'PHIL 224W']",TRUE,"['ACCT 200', 'CIS 121', 'CIS 122', 'CIS 223', 'CIS 311', 'CIS 340', 'CIS 350', 'CIS 380', 'CIS 440', 'CIS 497', 'ECON 207', 'ENG 271W']",FALSE,[],TRUE,"{'Cluster 1: Integrated Business Experience (IBE)': {'Core': ['CIS 499', 'FINA 362', 'MGMT 230', 'MRKT 210'], 'Electives': ['credits_3','ACCT 210', 'BLAW 471', 'MGMT 346', 'MGMT 473']}, 'Cluster 2: General Business': {'Core': ['credits_9','FINA 362', 'MGMT 230', 'MRKT 210'], 'Electives': ['credits_6','ACCT 210', 'BLAW 471', 'MGMT 346', 'MGMT 473']}}",TRUE,"['ENG 469', 'Any upper-division CIS course between 300 - 496 not already used in Major Common Core or selected cluster. Atleast 8 must be 400 level']",FALSE,,
RN Baccalaureate Completion (BS),TRUE,['30 college semester credits'],TRUE,"['NURS 382','NURS 320W','NURS 482W)']",TRUE,"['NURS 320W', 'NURS 362', 'NURS 382', 'NURS 402', 'NURS 420', 'NURS 482W', 'NURS 492']",TRUE,['NURS 492'],FALSE,[],FALSE,[],FALSE,,
Criminal Justice (BS),FALSE,[],TRUE,"[['CJ 201', 'CJ 255', 'POL 111', 'SOC 101'], ['credits_3', 'ELE 222W', 'ETHN 150', 'GWS 225', 'GWS 225W', 'HIST 232', 'HIST 280', 'REHB 110W'],  ['credits_3', 'ANTH 120', 'CSP 110', 'HLTH 210', 'PHIL 110', 'PHIL 115W', 'PHIL 120W', 'PHIL 205W', 'URBS 230', 'URBS 230W'], ['credits_3', 'ANTH 240', 'CDIS 205', 'COMM 203', 'ETHN 100', 'ETHN 101', 'GEOG 103', 'GWS 110', 'GWS 110W', 'HUM 281W', 'PSYC 219', 'SOC 208'], ['credits_3', 'AIS 101', 'AIS 210W', 'AIS 220W', 'ETHN 201W', 'ETHN 203W', 'ETHN 204W', 'GWS 120', 'GWS 120W', 'GWS 222'] , ['credits_6', 'CHEM 134', 'CJ 225', 'COMM 280', 'ETHN 220W', 'GWS 230', 'HIST 250', 'HIST 268', 'HLTH 225', 'PHIL 240W', 'POL 101', 'POL 104', 'PSYC 101', 'PSYC 150', 'SOC 150', 'SOWK 215', 'SOWK 215W', 'URBS 150']]",TRUE,"['CJ 201', 'CJ 231', 'CJ 309', 'CJ 310', 'CJ 321', 'CJ 401', 'CJ 402', 'CJ 371']",FALSE,[],TRUE,"['CJ 322', 'CJ 323']",TRUE,"['credits_12','CJ 100 - 499', 'GEOG 352', 'GWS 411', 'PSYC 389', 'SOC 300 - 499']",TRUE,A minor in any discipline is required,
Liberal Arts and Sciences (AA),FALSE,[],FALSE,[],TRUE,"[""Complete the 44 credits for the university's general education requirements""]",FALSE,[],FALSE,[],TRUE,"['credits_16', 'Any 100 - 299']",FALSE,,
Recreation and Parks Leadership Studies (BS) Cultural and Natural Resource Management,TRUE,"['RPLS 100', '12 college-level course credits']",FALSE,[],TRUE,"['RPLS 100', 'RPLS 175', 'RPLS 276', 'RPLS 293', 'RPLS 373', 'RPLS 376', 'RPLS 393W', 'RPLS 483', 'RPLS 493', 'RPLS 495']",FALSE,[],TRUE,"['RPLS 325', 'RPLS 350', 'RPLS 450', 'RPLS 460', 'RPLS 475', 'RPLS 476', 'RPLS 478', 'RPLS 479', 'RPLS 481']",FALSE,[],FALSE,,Senior Internship Policy
Recreation and Parks Leadership Studies (BS) Recreation Leadership and Management,TRUE,"['RPLS 100', '12 college-level course credits']",FALSE,[],TRUE,"['RPLS 100', 'RPLS 175', 'RPLS 276', 'RPLS 293', 'RPLS 373', 'RPLS 376', 'RPLS 393W', 'RPLS 483', 'RPLS 493', 'RPLS 495']",FALSE,[],TRUE,"['RPLS 325', 'RPLS 341W', 'RPLS 350', 'RPLS 365', 'RPLS 450', 'RPLS 451', 'RPLS 465', 'RPLS 466', 'RPLS 476', 'RPLS 481']",FALSE,[],FALSE,,Senior Internship Policy
Business Analytics (CERT),TRUE,[],FALSE,[],TRUE,"['FINA 375', 'FINA 475']",FALSE,[],TRUE,"{'Discipline Focus': ['credits_6','FINA 400', 'MGMT 404', 'MRKT 324'], 'Economics/Statistics': ['credits_4','ECON 207', 'STAT 154']}",FALSE,[],FALSE,,
Alcohol and Drug Studies (BS),TRUE,"['Completion of 30 credit hours', 'C- or better in HLTH 225', 'C- or better in two of PSYC 101, SOC 101, HLTH 240']",TRUE,"['HLTH 240', 'PSYC 101', 'SOC 101']",TRUE,"['HLTH 225', 'HLTH 370', 'HLTH 372', 'HLTH 373', 'HLTH 374', 'HLTH 406', 'HLTH 407', 'HLTH 408W', 'HLTH 456', 'HLTH 469', 'HLTH 497']",FALSE,[],TRUE,"['CJ 309', 'CSP 470', 'CSP 471', 'CSP 473', 'PSYC 455', 'SOWK 422']",TRUE,['HLTH 101 - 499 (not double counting with major required courses)'],TRUE,Any minor accepted,
Art (BFA),FALSE,[],TRUE,"['ART 260', 'ART 261']",TRUE,"['ART 101', 'ART 103', 'ART 110', 'ART 391', 'ART 466']",TRUE,['ART 495'],TRUE,"[['credits_18','ART 202', 'ART 220', 'ART 210', 'ART 212','ART 231', 'ART 240', 'ART 245', 'ART 250', 'ART 251', 'ART 270', 'ART 271', 'ART 275', 'ART 280', 'ART 285'],['credits_12','ART 300 - 399'],['credits_3', 'ART 210', 'ART 212', 'ART 310', 'ART 410'], ['credits_6', 'ART 417', 'ART 419', 'ART 460', 'ART 462', 'ART 463', 'ART 464', 'ART 467', 'ART 468', 'ART 469', 'ART 477W'], ['credits_21', 'ART 400 - 499']]",FALSE,[],FALSE,,
Social Studies Teaching (BS) Political Science,TRUE,[],TRUE,"[['ANTH 101', 'GEOG 100', 'POL 111', 'PSYC 101'], ['credits_3', 'HIST 190', 'HIST 190W'], ['credits_3', 'HIST 191', 'HIST 191W']]",TRUE,"['ECON 201', 'ECON 202', 'GEOG 340', 'HIST 302', 'POL 321', 'SOC 101', 'SOST 200', 'SOST 450']",FALSE,[],TRUE,"[['credits_3','ETHN 410', 'GWS 220', 'GWS 220W'],  ['credits_4','POL 321', 'POL 361', 'POL 420', 'POL 422', 'POL 423', 'POL 424', 'POL 426', 'POL 427', 'POL 460', 'POL 461', 'POL 462', 'POL 463', 'POL 470', 'POL 471', 'POL 473', 'POL 474', 'POL 476',], ['credits_4', 'POL 431', 'POL 433', 'POL 434', 'POL 435', 'POL 436', 'POL 437', 'POL 438', 'POL 439', 'POL 440', 'POL 441', 'POL 442', 'POL 443', 'POL 444', 'POL 445', 'POL 446', 'POL 447', 'POL 448'], ['credits_4', 'POL 311', 'POL 312', 'POL 313', 'POL 410', 'POL 414', 'POL 415', 'POL 450', 'POL 451', 'POL 454', 'POL 455'],  ['credits_3', 'POL 300 - 499']]",TRUE,['2 credits of general electives'],FALSE,,
Social Studies Teaching (BS) Psychology,TRUE,[],TRUE,"[['ANTH 101', 'GEOG 100', 'POL 111', 'PSYC 101'], ['credits_3', 'HIST 190', 'HIST 190W'], ['credits_3', 'HIST 191', 'HIST 191W']]",TRUE,"['ECON 201', 'ECON 202', 'GEOG 340', 'HIST 302', 'POL 321', 'SOC 101', 'SOST 200', 'SOST 450']",FALSE,[],TRUE,"[['credits_4', 'PSYC 321', 'PSYC 413', 'PSYC 420', 'PSYC 421'],['credits_4','PSYC 325', 'PSYC 414', 'PSYC 415'], ['credits_4','PSYC 343', 'PSYC 433', 'PSYC 436', 'PSYC 466'], ['credits_3','PSYC 340', 'PSYC 401', 'PSYC 455', 'PSYC 460W']]",TRUE,['2 credits of general electives'],FALSE,,
Social Studies Teaching (BS) Sociology,TRUE,[],TRUE,"[['ANTH 101', 'GEOG 100', 'POL 111', 'PSYC 101'], ['credits_3', 'HIST 190', 'HIST 190W'], ['credits_3', 'HIST 191', 'HIST 191W']]",TRUE,"['ECON 201', 'ECON 202', 'GEOG 340', 'HIST 302', 'POL 321', 'SOC 101', 'SOST 200', 'SOST 450']",FALSE,[],TRUE,"[['credits_3','ETHN 410', 'GWS 220', 'GWS 220W'], ['credits_8', 'SOC 360', 'SOC 425', 'SOC 446', 'SOC 460', 'SOC 463', 'SOC 482'], ['credits_8','SOC 241', 'SOC 325', 'SOC 351', 'SOC 402', 'SOC 405', 'SOC 409', 'SOC 483', 'SOC 484']]",TRUE,['2 credits of general electives'],FALSE,,
