Program,hasPrereqToMajor,prereqToMajorList,hasReqGenEds,reqGenEdsList,hasMajorCommonCore,majorCommonCoreList,hasThesisCapstone,ChooseThesisCapstone,hasMajorRestrictiveElectives,majorRestrictiveElectivesList,hasMajorUnrestrictedElectives,majorUnrestrictedElectives,hasRequiredMinor,minorName,otherGradReq
Dental Hygiene (BS),TRUE,"[['credits_3', 'FCS 140', 'FCS 242'], ['credits_11', 'BIOL 201', 'BIOL 202', 'BIOL 271', 'CHEM 106', 'CHEM 111'], ['credits_3', 'CHEM 106', 'CHEM 111'], ['credits_1', 'DHYG 100', 'DHYG 101'], ['credits_2', 'DHYG 219', 'DHYG 225', 'DHYG 225'], 'DHYG 223']",TRUE,"['ENG 101', 'PSYC 101', ['credits_4', 'SOC 101', 'SOC 150'], ['credits_3', 'COMM 100', 'COMM 102'], ['credits_4', 'SOC 202', 'STAT 154']]",TRUE,"['DHYG 311', 'DHYG 313', 'DHYG 321', 'DHYG 322', 'DHYG 326', 'DHYG 327', 'DHYG 328', 'DHYG 329', 'DHYG 331', 'DHYG 332', 'DHYG 333', 'DHYG 334', 'DHYG 420', 'DHYG 421', 'DHYG 422', 'DHYG 424', 'DHYG 425W', 'DHYG 426', 'DHYG 427', 'DHYG 428', 'DHYG 431', 'DHYG 432', 'DHYG 435', 'DHYG 437', 'DHYG 438', 'DHYG 439', 'DHYG 460', 'DHYG 461', 'DHYG 462']",FALSE,[],FALSE,[],TRUE,"['credits_0', 'DHYG 336', 'DHYG 447']",FALSE,,
Exercise Science (BS) General Exercise Science,FALSE,[],TRUE,"['CHEM 111', 'CIS 100', 'ENG 101', 'FCS 140', 'MATH 112']",TRUE,"['BIOL 220', 'BIOL 330', 'HP 260', 'HP 290', 'HP 291', 'HP 314', 'HP 315W', 'HP 363', 'HP 392', 'HP 431', 'HP 439', 'HP 465', 'HP 466', 'HP 477', 'HP 486', 'HP 487', 'BIOL 201', 'BIOL 202', 'FCS 242', 'HLTH 321', 'PHYS 211']
",FALSE,[],TRUE,"['credits_2', 'HP 102', 'HP 103', 'HP 105', 'HP 113', 'HP 114', 'HP 117', 'HP 130', 'HP 146', 'HP 147', 'HP 148', 'HP 149', 'HP 150', 'HP 152', 'HP 153', 'HP 154', 'HP 155', 'HP 156', 'HP 157', 'HP 158', 'HP 159', 'HP 161', 'HP 166', 'HP 171', 'HP 172', 'HP 173', 'HP 175', 'HP 176', 'HP 177', 'HP 179', 'HP 180', 'HP 181', 'HP 182', 'HP 183', 'HP 191']",FALSE,[],FALSE,,
Exercise Science (BS) Practitioner,FALSE,[],TRUE,"['BIOL 105', 'CHEM 201', 'CIS 100', 'ENG 101', 'MATH 115', 'PHYS 211', 'PSYC 101', 'STAT 154']",TRUE,"['BIOL 220', 'BIOL 330', 'HP 260', 'HP 290', 'HP 291', 'HP 314', 'HP 315W', 'HP 363', 'HP 392','HP 431', 'HP 439', 'HP 465', 'HP 466', 'HP 477', 'HP 486', 'HP 487', 'BIOL 106', 'CHEM 202','HLTH 321', 'PHYS 212', 'PSYC 343', 'PSYC 455']",FALSE,[],TRUE,"['credits_2', 'HP 102', 'HP 103', 'HP 105', 'HP 130', 'HP 146', 'HP 147', 'HP 148', 'HP 149', 'HP 150', 'HP 152', 'HP 153','HP 154', 'HP 155', 'HP 156', 'HP 157', 'HP 158', 'HP 159', 'HP 161', 'HP 166', 'HP 171', 'HP 172', 'HP 173', 'HP 175', 'HP 176', 'HP 177', 'HP 179', 'HP 180', 'HP 181', 'HP 182', 'HP 183', 'HP 191']",FALSE,"['credits_8', 'BIOL 270', 'BIOL 320', 'BIOL 324', 'BIOL 380', 'BIOL 417', 'BIOL 424', 'BIOL 433', 'BIOL 466', 'BIOL 474', 'CHEM 360', 'FCS 440', 'HLTH 210', 'HLTH 321', 'HLTH 451', 'HLTH 455', 'HP 313', 'HP 340', 'HP 415','HP 418', 'HP 451', 'HP 470', 'PSYC 343', 'PSYC 433', 'PSYC 436', 'PSYC 455', 'PSYC 460W', 'PSYC 466']",FALSE,,
Applied Health Science (BS) Health Education & Promotion,FALSE,[ ],TRUE,"[['credits_3', 'CHEM 100', 'CHEM 104', 'CHEM 106', 'CHEM 111', 'CHEM 201'], ['credits_3', 'COMM 100', 'COMM 102']]",TRUE,"['HLTH 260', 'HLTH 295', 'HLTH 360', 'HLTH 361W', 'HLTH 380W', 'HLTH 454', 'HLTH 460', 'HLTH 480', 'HLTH 482W']",FALSE,[ ],TRUE,"['HLTH 321', 'HLTH 450']",FALSE,[],FALSE,[ ],[ ]
Applied Health Science (BS) Pre-Athletic Training,FALSE,[ ],TRUE,"[['credits_3', 'CHEM 111', 'CHEM 201'], ['credits_3', 'COMM 100', 'COMM 102'], ['BIOL 105','HLTH 101','STAT 154']]",TRUE,"['HLTH 260', 'HLTH 295', 'HLTH 360', 'HLTH 361W', 'HLTH 380W', 'HLTH 454', 'HLTH 460', 'HLTH 480', 'HLTH 482W']",FALSE,[ ],TRUE,"['BIOL 201', 'BIOL 202', 'FCS 242', 'HLTH 321', 'HP 314', 'PHYS 211', 'HP 328','HP 363', 'HP 431']",FALSE,[],FALSE,[ ],[ ]
Applied Health Science (BS) Pre-Healthcare Administration,FALSE,[ ],TRUE,"[['credits_3', 'CHEM 111', 'CHEM 201'], ['credits_3', 'COMM 100', 'COMM 102'], ['BIOL 105','HLTH 101','STAT 154']]",TRUE,"['HLTH 260', 'HLTH 295', 'HLTH 360', 'HLTH 361W', 'HLTH 380W', 'HLTH 454', 'HLTH 460', 'HLTH 480', 'HLTH 482W']",FALSE,[ ],TRUE,"['HLTH 311', 'HLTH 450', 'HLTH 451', 'HLTH 455', 'HLTH 466', 'HLTH 477', 'HLTH 496']",FALSE,[],FALSE,[ ],[ ]
Applied Health Science (BS) Pre-Occupational Therapy,FALSE,[ ],TRUE,"[['credits_3', 'CHEM 104', 'CHEM 106', 'CHEM 111', 'CHEM 201'], ['credits_3', 'COMM 100', 'COMM 102'],['HLTH 101','HLTH 212'] ]",TRUE,"['HLTH 260', 'HLTH 295', 'HLTH 360', 'HLTH 361W', 'HLTH 380W', 'HLTH 454', 'HLTH 460', 'HLTH 480', 'HLTH 482W']",FALSE,[ ],TRUE,"['PHYS 101', 'PHYS 211',  'KSP 235','PSYC 343', 'SOC 202', 'STAT 154']",FALSE,[],FALSE,[ ],[ ]
Applied Health Science (BS) Public Health,FALSE,[ ],TRUE,"[['credits_3', 'CHEM 100', 'CHEM 104', 'CHEM 106', 'CHEM 111', 'CHEM 201'], ['credits_3', 'COMM 100', 'COMM 102'], ['credits_3-4', 'MATH 110', 'SOC 202', 'STAT 154'], ['HLTH 101','HLTH 212']]",TRUE,"['HLTH 260', 'HLTH 295', 'HLTH 360', 'HLTH 380W', 'HLTH 460', 'HLTH 454']",FALSE,[ ],TRUE,"['HLTH 321', 'HLTH 465', 'HLTH 475']",FALSE,[],FALSE,[ ],[ ]
Applied Leadership (BS),FALSE,[ ],FALSE,[ ] ,TRUE,"['AOS 301', 'AOS 488']",FALSE,[ ],TRUE,"['credits_12 from 300-499 level courses)', 'Critical Thinking and Decision-Making in Organizations (12 credits from 300-499 level courses)', 'Leadership in Organizations (12 credits from 300-499 level courses)', 'Area of Concentration (7-8 credits from a single discipline at 300-499 level)']",FALSE,[ ],FALSE,[ ],[ ]
Public Relations (BS),TRUE,"['COMM 100', 'ENG 101']",TRUE,"['PSYC 101', 'SOC 101']",TRUE,"['COMM 221W', 'COMM 233', 'COMM 306', 'COMM 315', 'COMM 425', 'COMM 498']",FALSE,[ ],TRUE,"['COMM 312', 'COMM 330W', 'COMM 351', 'COMM 353', 'COMM 405', 'COMM 412', 'COMM 430', 'COMM 434W', 'COMM 440', 'COMM 465', 'COMM 470']",TRUE,[],FALSE,[ ],[ ]
